state, medianHomePrice ,medianHomePriceYearOnYearGrowth, gdp_per_capita , population_states ,industries,value_of_100
New York,819900,-1.8,108380,20201249,Finance,102.2299207
California,785900,-5.8,96222,39538223,Information,95.25933749
Hawaii,720200,1.4,71215,1455271,Real estate,90.75824199
District of Columbia,668250,2.8,239861,689545,Federal civilian government,89.81578782
Washington,618000,-5.4,97805,7705281,Information,100.3780069
Massachusetts,614700,1.8,103340,7029917,Services,97.92441883
Colorado,580900,-4.1,85816,5773714,Real estate,103.6480834
Utah,529600,-8,76487,3271616,Manufacturing,109.9122083
Oregon,510900,-3.2,74492,4237256,Manufacturing,100.720885
New Jersey,477600,5,83810,9288994,Real estate,93.44310072
Rhode Island,462100,7.5,67358,1097379,Real estate,98.81520568
Idaho,460900,9.2,58855,1839106,Real estate,111.257783
New Hampshire,452700,4.4,78281,1377529,Real estate,98.96251336
Virginia,440200,-0.2,77875,8631393,Services,107.7075089
Arizona,436100,-6.2,65096,7151502,Real estate,114.8163479
Nevada,428100,8.1,71990,3104614,Real estate,107.5650578
Maryland,421800,0.8,79111,6177224,Real estate,99.64659628
Florida,407200,-0.4,65390,21538187,Real estate,103.73538
Connecticut,393700,6.6,91763,3605944,Finance,98.6568552
Vermont,385300,5.3,65279,643077,Real estate,102.3329821
Alaska,379600,4.5,86902,733391,Mining,98.34770321
Tennessee,377200,2.4,71198,6910840,Manufacturing,114.166086
Georgia,375300,0.9,72340,10214860,Real estate,110.6157942
South Carolina,374200,2.1,58398,5118425,Manufacturing,110.1843313
Maine,373700,6.1,63267,1363359,Real estate,105.9562796
North Carolina,371100,2.9,71297,10439388,Manufacturing,110.2998887
Texas,357800,4.4,81130,29145505,Manufacturing,108.6489709
New Mexico,349200,0.6,58716,2117522,Mining,115.0410565
Minnesota,341700,-2.2,81150,5706494,Manufacturing,110.6939527
Delaware,327300,1.3,89785,989948,Finance,103.8358793
West Virginia,304400,4.2,53939,1793716,Mining,112.4778881
Wisconsin,297100,6,70728,5893718,Manufacturing,109.8216269
Nebraska,290500,7.9,85931,1961504,Manufacturing,113.1965174
Alabama,284900,1.3,56897,5024279,Manufacturing,116.9711374
Illinois,280900,0,85111,12812508,Manufacturing,110.7110883
Pennsylvania,278700,0,74109,13002700,Manufacturing,107.7161575
Kansas,276300,2.1,74962,2937880,Manufacturing,114.6146796
Wyoming,276000,-12.5,81564,576851,Mining,109.6478827
Mississippi,271200,6.3,48744,2961279,Manufacturing,117.8955394
Arkansas,258100,7.5,56115,3011524,Manufacturing,115.1760886
Indiana,258000,3.9,69203,6785528,Manufacturing,110.3434472
Louisiana,257400,-2.3,63031,4657757,Manufacturing,112.3058051
Missouri,255400,3,65847,6154913,Manufacturing,115.6409697
Oklahoma,253200,5.1,60385,3959353,Mining,114.9110552
Michigan,252200,1.6,64272,10077331,Manufacturing,110.2630209
Kentucky,251300,3,60170,4505836,Manufacturing,115.5929737
Ohio,240900,2.4,72550,1839106,Manufacturing,111.1225259
Iowa,230600,3.3,75155,3190369,Manufacturing,114.8642469
